Episode Name,Episode Code,0,1,2,3,4,5,6,7,8,9
0,0,67,74,88,109,98,95,71,102,144,152
1,1,65,74,92,114,100,112,80,76,141,146
2,2,61,65,99,115,110,111,65,88,132,154
3,3,68,67,91,106,98,107,74,98,146,145
4,4,60,67,92,123,95,110,63,96,141,153
5,5,63,68,90,105,103,117,74,92,141,147
6,6,65,73,90,124,100,105,70,88,141,144
7,7,62,65,92,121,99,108,63,85,149,156
8,8,67,67,86,107,107,109,78,87,141,151
9,9,62,70,87,117,101,107,65,93,147,151
10,10,67,67,93,116,103,111,67,86,147,143
11,11,69,62,88,123,97,114,65,84,149,149
