Episode Name,Episode Code,0,1,2,3,4,5,6,7,8,9
0,0,116,125,99,90,97,86,94,100,97,96
1,1,96,121,107,106,82,96,102,99,89,102
2,2,114,108,91,105,93,93,99,111,98,88
3,3,106,115,89,91,91,94,101,111,95,107
4,4,95,101,101,106,94,111,99,93,104,96
5,5,89,115,91,118,86,96,97,105,99,104
6,6,97,107,90,100,95,85,101,105,125,95
7,7,104,107,107,90,95,90,120,96,97,94
8,8,95,95,115,107,117,81,92,105,100,93
9,9,100,123,105,90,100,87,81,103,114,97
10,10,103,106,107,92,104,85,97,98,92,116
11,11,108,108,97,100,98,102,91,94,102,100
